tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250124 16:20,A,Division & Wood,2061,2012,205,70,70,Westbound,Austin,2025-01-24 16:20:00,72 -804,88364369,259624156,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Cherry,2051,1102,224,70,70,Westbound,Austin,2025-01-24 16:20:00,70 -852,88364371,259624157,False,DUE,,True,2025-01-24 16:20:00
20250124 16:19,A,Division & Mayfield,2102,2019,581,70,70,Westbound,Austin,2025-01-24 16:20:00,70 -807,88364365,259624152,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Western,14569,1966,283,70,70,Westbound,Austin,2025-01-24 16:20:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Spaulding,2076,8555,1836,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -808,88364367,259624154,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Kedzie,2075,8555,1339,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -808,88364367,259624154,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Kostner,17980,8759,596,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Kilbourn,15962,8759,1249,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Kolmar,2089,8759,1453,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Campbell,2068,1966,748,70,70,Westbound,Austin,2025-01-24 16:21:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Rockwell,2069,1966,1422,70,70,Westbound,Austin,2025-01-24 16:22:00,70 -810,88364368,259624155,False,2,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Damen,2063,2012,1537,70,70,Westbound,Austin,2025-01-24 16:22:00,72 -804,88364369,259624156,False,2,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & North Branch,15369,1102,742,70,70,Westbound,Austin,2025-01-24 16:22:00,70 -852,88364371,259624157,False,2,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Wells,15676,8598,608,70,70,Westbound,Austin,2025-01-24 16:22:00,70 -804,88364372,259624158,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,300 W Division,2041,8598,1082,70,70,Westbound,Austin,2025-01-24 16:22:00,70 -804,88364372,259624158,False,2,,True,2025-01-24 16:20:00
20250124 16:20,A,4659 W Division,2090,8759,2552,70,70,Westbound,Austin,2025-01-24 16:22:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Sedgwick,2042,8598,1518,70,70,Westbound,Austin,2025-01-24 16:23:00,70 -804,88364372,259624158,False,3,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Homan,14571,8555,2683,70,70,Westbound,Austin,2025-01-24 16:23:00,70 -808,88364367,259624154,False,2,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Washtenaw,2070,1966,2098,70,70,Westbound,Austin,2025-01-24 16:23:00,70 -810,88364368,259624155,False,3,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Cicero,16095,8759,3268,70,70,Westbound,Austin,2025-01-24 16:23:00,70 -853,88364366,259624153,False,3,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Hoyne,2064,2012,2209,70,70,Westbound,Austin,2025-01-24 16:23:00,72 -804,88364369,259624156,False,3,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & California,14597,1966,2935,70,70,Westbound,Austin,2025-01-24 16:24:00,70 -810,88364368,259624155,False,4,,True,2025-01-24 16:24:00
20250124 16:20,A,Division & Clybourn,2043,8598,2080,70,70,Westbound,Austin,2025-01-24 16:24:00,70 -804,88364372,259624158,False,4,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Elston,2053,1102,1610,70,70,Westbound,Austin,2025-01-24 16:24:00,70 -852,88364371,259624157,False,4,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Lamon,2092,8759,3791,70,70,Westbound,Austin,2025-01-24 16:24:00,70 -853,88364366,259624153,False,3,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Lavergne,2093,8759,4463,70,70,Westbound,Austin,2025-01-24 16:24:00,70 -853,88364366,259624153,False,4,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Leavitt,18165,2012,3008,70,70,Westbound,Austin,2025-01-24 16:24:00,72 -804,88364369,259624156,False,4,,True,2025-01-24 16:20:00
20250124 16:20,D,Division & Austin Terminal,1970,8143,0,70,70,Eastbound,Walton & Dearborn,2025-01-24 16:24:00,70 -801,88364466,259624072,False,4,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Central Park,2079,8555,3850,70,70,Westbound,Austin,2025-01-24 16:25:00,70 -808,88364367,259624154,False,4,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Larrabee,2045,8598,2995,70,70,Westbound,Austin,2025-01-24 16:25:00,70 -804,88364372,259624158,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Noble,2055,1102,2520,70,70,Westbound,Austin,2025-01-24 16:25:00,70 -852,88364371,259624157,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Francisco,2072,1966,3489,70,70,Westbound,Austin,2025-01-24 16:25:00,70 -810,88364368,259624155,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Richmond,2073,1966,3828,70,70,Westbound,Austin,2025-01-24 16:25:00,70 -810,88364368,259624155,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Cleaver,2056,1102,2832,70,70,Westbound,Austin,2025-01-24 16:26:00,70 -852,88364371,259624157,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Grand/Monticello,15042,8555,4453,70,70,Westbound,Austin,2025-01-24 16:26:00,70 -808,88364367,259624154,False,6,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Humboldt,2074,1966,4249,70,70,Westbound,Austin,2025-01-24 16:26:00,70 -810,88364368,259624155,False,6,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Oakley,18163,2012,3677,70,70,Westbound,Austin,2025-01-24 16:26:00,72 -804,88364369,259624156,False,5,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Leclaire,2094,8759,5118,70,70,Westbound,Austin,2025-01-24 16:26:00,70 -853,88364366,259624153,False,5,,True,2025-01-24 16:26:00
20250124 16:20,A,Division & Halsted,2048,8598,4171,70,70,Westbound,Austin,2025-01-24 16:27:00,70 -804,88364372,259624158,False,7,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Lockwood,2096,8759,6475,70,70,Westbound,Austin,2025-01-24 16:27:00,70 -853,88364366,259624153,False,7,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Laramie,17185,8759,5922,70,70,Westbound,Austin,2025-01-24 16:27:00,70 -853,88364366,259624153,False,6,,True,2025-01-24 16:27:00
20250124 16:20,A,Division & Hooker,15368,8598,4988,70,70,Westbound,Austin,2025-01-24 16:28:00,70 -804,88364372,259624158,False,7,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Pine,2098,8759,7990,70,70,Westbound,Austin,2025-01-24 16:28:00,70 -853,88364366,259624153,False,8,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Ashland (Blue Line),2059,1102,3823,70,70,Westbound,Austin,2025-01-24 16:28:00,70 -852,88364371,259624157,False,8,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Long,17981,8759,7340,70,70,Westbound,Austin,2025-01-24 16:28:00,70 -853,88364366,259624153,False,8,,True,2025-01-24 16:20:00
20250124 16:20,A,Division & Hamlin,17978,8555,5338,70,70,Westbound,Austin,2025-01-24 16:28:00,70 -808,88364367,259624154,False,7,,True,2025-01-24 16:20:00
