tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250124 19:00,A,Division & Waller,2100,1966,538,70,70,Westbound,Austin,2025-01-24 19:00:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-24 19:00:00
20250124 19:00,A,Division & North Branch,15369,8433,150,70,70,Westbound,Austin,2025-01-24 19:00:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-24 19:00:00
20250124 19:00,A,Division & Rockwell,2069,1102,541,70,70,Westbound,Austin,2025-01-24 19:00:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-24 19:00:00
20250124 19:00,A,Division & Menard,2101,1966,1179,70,70,Westbound,Austin,2025-01-24 19:00:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-24 19:00:00
20250124 19:00,A,Division & Mayfield,2102,1966,1819,70,70,Westbound,Austin,2025-01-24 19:01:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-24 19:01:00
20250124 19:00,A,Division & Elston,2053,8433,1018,70,70,Westbound,Austin,2025-01-24 19:01:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-24 19:01:00
20250124 19:00,A,Division & Washtenaw,2070,1102,1217,70,70,Westbound,Austin,2025-01-24 19:01:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-24 19:01:00
20250124 19:00,A,Division & California,14597,1102,2054,70,70,Westbound,Austin,2025-01-24 19:02:00,70 -852,88364384,259624168,False,2,,True,2025-01-24 19:02:00
20250124 19:00,A,Division & Noble,2055,8433,1928,70,70,Westbound,Austin,2025-01-24 19:02:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-24 19:02:00
20250124 19:00,A,Division & Cleaver,2056,8433,2240,70,70,Westbound,Austin,2025-01-24 19:02:00,70 -814,88364385,259624169,False,2,,True,2025-01-24 19:02:00
20250124 18:59,A,Division & Wells,15676,8648,983,70,70,Westbound,Austin,2025-01-24 19:02:00,70 -854,88364386,259624170,False,DUE,,True,2025-01-24 19:02:00
20250124 18:59,A,300 W Division,2041,8648,1457,70,70,Westbound,Austin,2025-01-24 19:02:00,70 -854,88364386,259624170,False,2,,True,2025-01-24 19:02:00
20250124 19:00,A,Division & Francisco,2072,1102,2608,70,70,Westbound,Austin,2025-01-24 19:03:00,70 -852,88364384,259624168,False,2,,True,2025-01-24 19:03:00
20250124 18:59,A,Division & Sedgwick,2042,8648,1893,70,70,Westbound,Austin,2025-01-24 19:03:00,70 -854,88364386,259624170,False,2,,True,2025-01-24 19:03:00
20250124 19:00,A,Division & Richmond,2073,1102,2947,70,70,Westbound,Austin,2025-01-24 19:03:00,70 -852,88364384,259624168,False,3,,True,2025-01-24 19:03:00
20250124 18:59,A,Walton & Clark,18412,8814,2751,22,22,Northbound,Howard,2025-01-24 19:03:00,22 -572,1040961,259616877,False,3,,True,2025-01-24 19:03:00
20250124 18:59,A,Clark & Maple,1898,8814,3577,22,22,Northbound,Howard,2025-01-24 19:04:00,22 -572,1040961,259616877,False,4,,True,2025-01-24 19:04:00
20250124 19:00,D,Division & Austin Terminal,1970,8759,0,70,70,Eastbound,Walton & Dearborn,2025-01-24 19:04:00,70 -853,88364476,259624082,False,4,,True,2025-01-24 19:04:00
20250124 18:59,A,Clark & Oak,18732,8814,3228,22,22,Northbound,Howard,2025-01-24 19:04:00,22 -572,1040961,259616877,False,3,,True,2025-01-24 19:04:00
20250124 18:59,A,Clark & Oak,18732,8752,3600,22,22,Northbound,Howard,2025-01-24 19:04:00,22 -576,204090,259616879,False,4,,True,2025-01-24 19:04:00
20250124 19:00,A,Division & Humboldt,2074,1102,3368,70,70,Westbound,Austin,2025-01-24 19:04:00,70 -852,88364384,259624168,False,3,,True,2025-01-24 19:04:00
20250124 18:59,A,Division & Clybourn,2043,8648,2455,70,70,Westbound,Austin,2025-01-24 19:04:00,70 -854,88364386,259624170,False,3,,True,2025-01-24 19:04:00
20250124 18:59,A,Walton & Clark,18412,8752,3123,22,22,Northbound,Howard,2025-01-24 19:04:00,22 -576,204090,259616879,False,4,,True,2025-01-24 19:04:00
20250124 19:00,A,Division & Kedzie,2075,1102,4754,70,70,Westbound,Austin,2025-01-24 19:05:00,70 -852,88364384,259624168,False,5,,True,2025-01-24 19:05:00
20250124 19:00,A,Division & Ashland (Blue Line),2059,8433,3231,70,70,Westbound,Austin,2025-01-24 19:05:00,70 -814,88364385,259624169,False,5,,True,2025-01-24 19:05:00
