tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250124 11:29,A,Division & Noble,2055,2019,847,70,70,Westbound,Austin,2025-01-24 11:30:00,70 -807,88364434,259624131,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Campbell,2068,8143,532,70,70,Westbound,Austin,2025-01-24 11:30:00,70 -801,88364433,259624130,False,DUE,,True,2025-01-24 11:43:00
20250124 11:28,A,Division & Kildare,2086,1900,2155,70,70,Westbound,Austin,2025-01-24 11:30:00,70 -816,88364432,259624129,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Pine,2098,1906,816,70,70,Westbound,Austin,2025-01-24 11:30:00,70 -806,88364431,259624128,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Rockwell,2069,8143,1206,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -801,88364433,259624130,False,DUE,,True,2025-01-24 11:43:00
20250124 11:28,A,Division & Kostner,17980,1900,2983,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -816,88364432,259624129,False,DUE,,False,2025-01-24 11:43:00
20250124 11:28,A,Division & Kilbourn,15962,1900,3636,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -816,88364432,259624129,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Cleaver,2056,2019,1159,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -807,88364434,259624131,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Clark & Oak,18732,8555,687,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -808,88364435,259624132,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,D,Walton & Clark,18412,8555,210,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -808,88364435,259624132,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Central,17982,1906,1452,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -806,88364431,259624128,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Waller,2100,1906,1991,70,70,Westbound,Austin,2025-01-24 11:31:00,70 -806,88364431,259624128,False,DUE,,True,2025-01-24 11:43:00
20250124 11:28,A,Division & Kolmar,2089,1900,3840,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -816,88364432,259624129,False,DUE,,True,2025-01-24 11:43:00
20250124 11:28,A,4659 W Division,2090,1900,4939,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -816,88364432,259624129,False,2,,True,2025-01-24 11:43:00
20250124 11:29,A,Clark & Maple,1898,8555,1036,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -808,88364435,259624132,False,2,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Menard,2101,1906,2632,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -806,88364431,259624128,False,DUE,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Washtenaw,2070,8143,1882,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -801,88364433,259624130,False,2,,True,2025-01-24 11:43:00
20250124 11:29,A,Division & Mayfield,2102,1906,3272,70,70,Westbound,Austin,2025-01-24 11:32:00,70 -806,88364431,259624128,False,2,,True,2025-01-24 11:43:00
20250124 11:29,D,Division & Austin Terminal,1970,8718,0,70,70,Eastbound,Walton & Dearborn,2025-01-24 11:32:00,70 -815,88364350,259624045,False,DUE,,True,2025-01-24 11:43:00
20250124 11:28,A,Division & Cicero,16095,1900,5655,70,70,Westbound,Austin,2025-01-24 11:33:00,70 -816,88364432,259624129,False,3,,True,2025-01-24 11:43:00
